t,level,bass,mid,treble,flux,argmax
4.3073,0.09213,0.7260,0.4684,0.3707,0.00132,8
4.31891,0.08487,0.6960,0.4462,0.3391,0.00074,8
4.33052,0.07645,0.6637,0.4134,0.3085,0.00110,8
4.34213,0.07066,0.6284,0.3894,0.2759,0.00077,8
4.35374,0.06664,0.6202,0.3739,0.2338,0.00023,8
4.36535,0.06246,0.6107,0.3682,0.1699,0.00210,8
4.37696,0.05859,0.6026,0.3535,0.0826,0.00200,8
4.38857,0.05507,0.5950,0.3624,0.0136,0.00468,8
4.40018,0.05165,0.5877,0.3495,0.0126,0.00009,8
4.41179,0.04924,0.5789,0.3498,0.0123,0.00149,8
4.4234,0.04691,0.5685,0.3532,0.0119,0.00177,8
4.43501,0.04386,0.5609,0.3384,0.0116,0.00077,8
4.44662,0.04207,0.5527,0.3468,0.0113,0.00433,8
4.45823,0.09813,0.5782,0.4098,0.1198,0.07838,8
4.46984,0.14580,0.7416,0.5781,0.3641,0.20312,8
4.48145,0.17993,0.8334,0.6513,0.4743,0.09415,8
4.49306,0.19379,0.8773,0.6878,0.5315,0.04761,7
4.50467,0.20672,0.9195,0.6995,0.5604,0.02580,6
4.51628,0.21632,0.9407,0.6820,0.5633,0.00773,6
4.52789,0.22524,0.9307,0.6485,0.5550,0.00300,6
4.5395,0.22968,0.8820,0.6009,0.5311,0.00010,1
4.55111,0.21834,0.8338,0.5509,0.5029,0.00117,0
4.56272,0.19235,0.8200,0.5161,0.4832,0.00135,0
4.57433,0.16600,0.7837,0.5132,0.4597,0.00404,0
4.58594,0.15252,0.8070,0.5012,0.4375,0.00560,0
4.59755,0.13714,0.7949,0.4836,0.4159,0.00107,0
4.60916,0.12461,0.7888,0.4732,0.3874,0.00180,1
4.62077,0.10947,0.7885,0.4663,0.3558,0.00294,1
4.63238,0.10246,0.7709,0.4461,0.3340,0.00087,1
4.64399,0.08941,0.7758,0.4377,0.3161,0.00532,1
4.6556,0.08397,0.7702,0.4342,0.2951,0.00251,1
4.66721,0.07639,0.7525,0.4233,0.2730,0.00104,1
4.67882,0.06953,0.7538,0.4058,0.2526,0.00338,1
4.69043,0.06681,0.7409,0.3927,0.2250,0.00221,1
4.70204,0.05967,0.7388,0.3800,0.1870,0.00322,1
4.71365,0.07412,0.7389,0.4332,0.2076,0.03276,1
4.72526,0.08469,0.7351,0.4982,0.3457,0.08825,1
4.73687,0.09268,0.7755,0.5456,0.4201,0.05876,1
4.74848,0.09781,0.8085,0.5573,0.4609,0.03028,1
4.76009,0.09921,0.8131,0.5499,0.4741,0.00951,1
4.7717,0.10285,0.7903,0.5193,0.4653,0.00059,1
4.78331,0.10445,0.7367,0.4688,0.4390,0.00037,4
4.79492,0.10617,0.7105,0.4625,0.4121,0.00353,4
4.80653,0.09720,0.7080,0.4569,0.3842,0.00212,4
4.81814,0.08661,0.6912,0.4394,0.3483,0.00072,4
4.82975,0.07742,0.6700,0.4001,0.3150,0.00088,4
4.84136,0.07103,0.6273,0.3635,0.2771,0.00044,4
4.85297,0.06702,0.6165,0.3472,0.2300,0.00031,4
4.86458,0.06257,0.6076,0.3316,0.1668,0.00018,4
4.87619,0.05767,0.5990,0.3268,0.0778,0.00141,4
4.8878,0.05530,0.5880,0.3125,0.0103,0.00036,4
4.89941,0.05231,0.5794,0.3084,0.0093,0.00065,4
4.91102,0.04953,0.5719,0.3053,0.0089,0.00134,4
4.92263,0.04637,0.5619,0.3130,0.0087,0.00346,4
4.93424,0.04506,0.5547,0.3099,0.0084,0.00106,4
4.94585,0.04241,0.5473,0.3132,0.0081,0.00197,4
4.95746,0.08414,0.5705,0.3997,0.0682,0.06508,4
4.96907,0.10214,0.7246,0.5397,0.2889,0.18108,3
4.98068,0.12260,0.7807,0.6205,0.3984,0.09108,9
4.99229,0.13261,0.8209,0.6564,0.4550,0.04681,9
5.0039,0.14010,0.8688,0.6631,0.4805,0.02412,8
5.01551,0.15531,0.8974,0.6479,0.4804,0.00908,8
5.02712,0.17181,0.8894,0.6068,0.4612,0.00144,0
5.03873,0.18130,0.8376,0.5234,0.4314,0.00001,0
5.05034,0.16953,0.7823,0.4435,0.3974,0.00275,0
5.06195,0.16024,0.7426,0.4103,0.3651,0.00286,0
5.07356,0.14757,0.7162,0.3955,0.3335,0.00085,1
